idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	idDB4A	
EMG_CH2_24BIT	EMG_CH2_24BIT	ECG_EMG_Status1	ECG_EMG_Status1	Timestamp	Timestamp	EMG_CH1_24BIT	EMG_CH1_24BIT	
UNCAL	CAL	UNCAL	CAL	CAL	UNCAL	CAL	UNCAL	
no_units	mV	no_units	no_units	ms	Ticks	mV	no_units	
755665.0	54.49979060885795	128.0	128.0	168827.72827148438	5532147.0	-84.43711810554483	-1170760.0	
755825.0	54.511330069462076	128.0	128.0	168828.70483398438	5532179.0	-84.46272128376023	-1171115.0	
756045.0	54.52719682779275	128.0	128.0	168829.68139648438	5532211.0	-84.48471838053685	-1171420.0	
755995.0	54.52359074635396	128.0	128.0	168830.65795898438	5532243.0	-84.5009457470114	-1171645.0	
755475.0	54.48608749939055	128.0	128.0	168831.63452148438	5532275.0	-84.50887912617674	-1171755.0	
756070.0	54.528999868512145	128.0	128.0	168832.61108398438	5532307.0	-84.57234615949943	-1172635.0	
755845.0	54.51277250203759	128.0	128.0	168833.58764648438	5532339.0	-84.70000144243258	-1174405.0	
755885.0	54.51565736718862	128.0	128.0	168834.56420898438	5532371.0	-84.79664442499214	-1175745.0	
756385.0	54.55171818157652	128.0	128.0	168835.54077148438	5532403.0	-84.8640781478975	-1176680.0	
755745.0	54.50556033916001	128.0	128.0	168836.51733398438	5532435.0	-84.86948727005569	-1176755.0	
756245.0	54.54162115354791	128.0	128.0	168837.49389648438	5532467.0	-84.8521780791495	-1176515.0	
756175.0	54.5365726395336	128.0	128.0	168838.47045898438	5532499.0	-84.76923820605734	-1175365.0	
756255.0	54.542342369835666	128.0	128.0	168839.44702148438	5532531.0	-84.64915569414565	-1173700.0	
755490.0	54.48716932382219	128.0	128.0	168840.42358398438	5532563.0	-84.5301550066656	-1172050.0	
755275.0	54.471663173635385	128.0	128.0	168841.40014648438	5532595.0	-84.38915722240893	-1170095.0	
756085.0	54.53008169294378	128.0	128.0	168842.37670898438	5532627.0	-84.35273579987715	-1169590.0	
756235.0	54.54089993726015	128.0	128.0	168843.35327148438	5532659.0	-84.35994796275473	-1169690.0	
755715.0	54.50339669029674	128.0	128.0	168844.32983398438	5532691.0	-84.37833897809256	-1169945.0	
755415.0	54.481760201664	128.0	128.0	168845.30639648438	5532723.0	-84.40177850744469	-1170270.0	
755130.0	54.461205537462895	128.0	128.0	168846.28295898438	5532755.0	-84.38194505953135	-1169995.0	
754220.0	54.39557485527693	128.0	128.0	168847.25952148438	5532787.0	-84.4205301309264	-1170530.0	
753975.0	54.37790505622686	128.0	128.0	168848.23608398438	5532819.0	-84.44757574171732	-1170905.0	
753645.0	54.35410491873085	128.0	128.0	168849.21264648438	5532851.0	-84.47606378508375	-1171300.0	
754395.0	54.40819614031269	128.0	128.0	168850.18920898438	5532883.0	-84.46776979777454	-1171185.0	
